# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777351458753000000,1777351487741000000,0
workspaceModel.sync.entities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777351458753000000,1777351487741000000,0
jps.facet.change.listener.before.change.events.ms,1777351458753000000,1777351487741000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777351458753000000,1777351487741000000,35
jps.global.initialize.library.bridges.after.loading.ms,1777351458753000000,1777351487741000000,1
workspaceModel.global.updates.count,1777351458753000000,1777351487741000000,1
jps.library.entities.serializer.save.entities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777351458753000000,1777351487741000000,0
jps.global.handle.changed.events.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777351458753000000,1777351487741000000,0
jps.library.entities.serializer.load.entities.ms,1777351458753000000,1777351487741000000,6
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777351458753000000,1777351487741000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777351458753000000,1777351487741000000,260
workspaceModel.global.updates.ms,1777351458753000000,1777351487741000000,4
workspaceModel.mutableEntityStorage.collect.changes.ms,1777351458753000000,1777351487741000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.instances.count,1777351458753000000,1777351487741000000,50
workspaceModel.load.cache.metadata.from.file.ms,1777351458753000000,1777351487741000000,15
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777351458753000000,1777351487741000000,7
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777351458753000000,1777351487741000000,1
jps.module.iml.entities.serializer.load.entities.ms,1777351458753000000,1777351487741000000,22
jps.load.initial.state.ms,1777351458753000000,1777351487741000000,12
workspaceModel.mutableEntityStorage.add.entity.ms,1777351458753000000,1777351487741000000,24
workspaceModel.load.cache.from.file.ms,1777351458753000000,1777351487741000000,104
jps.project.serializers.load.ms,1777351458753000000,1777351487741000000,16
jps.global.initialize.library.bridges.ms,1777351458753000000,1777351487741000000,0
jps.reload.project.entities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.moduleBridge.before.changed.ms,1777351458753000000,1777351487741000000,0
workspaceModel.global.apply.state.to.project.ms,1777351458753000000,1777351487741000000,15
workspaceModel.do.save.caches.ms,1777351458753000000,1777351487741000000,40
jps.save.global.entities.ms,1777351458753000000,1777351487741000000,25
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777351458753000000,1777351487741000000,8
jps.global.get.library.by.name.ms,1777351458753000000,1777351487741000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777351458753000000,1777351487741000000,0
workspaceModel.orphan.listener.update.ms,1777351458753000000,1777351487741000000,2
jps.apply.loaded.storage.ms,1777351458753000000,1777351487741000000,34
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777351458753000000,1777351487741000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1777351458753000000,1777351487741000000,18
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777351458753000000,1777351487741000000,0
jps.facet.change.listener.process.change.events.ms,1777351458753000000,1777351487741000000,1
jps.module.iml.entities.serializer.save.entities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777351458753000000,1777351487741000000,0
workspaceModel.save.cache.to.file.ms,1777351458753000000,1777351487741000000,36
jps.project.serializers.save.ms,1777351458753000000,1777351487741000000,1
jps.global.handle.before.change.events.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777351458753000000,1777351487741000000,0
jps.load.project.to.empty.storage.ms,1777351458753000000,1777351487741000000,32
compiler.ArtifactManagerBridge.addArtifact.ms,1777351458753000000,1777351487741000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777351458753000000,1777351487741000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777351458753000000,1777351487741000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777351458753000000,1777351487741000000,0
compiler.ArtifactManagerBridge.commit.ms,1777351458753000000,1777351487741000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777351458753000000,1777351487741000000,1
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777351458753000000,1777351487741000000,1
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777351458753000000,1777351487741000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777351458753000000,1777351487741000000,0
